name,description,category
Verão no Ling | Oficina de doces saudáveis,"Receitas práticas de doces saudáveis para o dia a dia, sem nada de origem animal e com muito sabor? Sim, queremos! Nesse curso vamos aprender como substituir laticínios e também como usar as frutas em preparações surpreendentes. Venha aproveitar essa experiência gastronômica, provando novos e saudáveis sabores, para uma dieta rica nutricionalmente.<br>Apoio Especial:<br>Leites Vegetais - Familia Pamalani<br>Farinhas Giroil<br>Chocolife <br>Tudo em Grãos Auxiliadora<br>Mendofit",Food
Conecte o melhor que há em si em 2019,"Evento Aberto e Gratuito em Dançaterapia na Redenção em Porto Alegre - dia 12/01/19 - sábado - das 14h30 às 16h30.<br>Venha dançar conosco seus novos passos em 2019, se conectando ao melhor que há em si...<br>Contemplaremos um novo ano, ao ar livre e com a Dançaterapia, que proporcionará o renovar das energias, consolidando o nosso andar com leveza, trançando o caminho que percorreremos com o ânimo e alegria. Será um momento de sentirmos através das expressões corporais nossos pontos fortes, fazendo com que haja um despertar e um novo olhar em nossas vidas.<br>Convide amigos, familiares, filhos, colegas, todos que se conectarem com esta vibração de inspiração e celebração. <br>Vista sua camiseta colorida (rosa, verde, amarela, vermelha, branca, azul, etc) e cheia de vida para representar a sua intenção com a Dança em 2019.<br>Esperamos vocês dia 12/01/19 - Sábado!<br>Facilitadora e Dançaterapeuta: Gislaine Penteado<br>Local de Encontro: Parque Farroupilha ao lado da imagem do Buda será nosso ponto de encontro às 14h15<br>Equipe Plenitude Terapias.",Wellness
Meninos de Rosa e Meninas de Azul na Toca • Free até 00h • Sexta,"✔ CONFIRME PRESENÇA no EVENTO para ter o NOME NA LISTA FREE ATÉ 00:00! ;)<br>Não podemos deixar o nosso país retroceder!<br>Aqui na Toca TAMBÉM VAMOS MOSTRAR que COR NÃO TEM GÊNERO!<br>Os eventos de (Meninos de Rosa e Meninas de Azul) estarão acontecendo pelo Brasil na quinta-feira (10/01) e é claro que a Toca não poderia deixar de dar apoio!<br>Então sexta-feira (11/01) será o nosso dia!<br>➤ Os MENINOS QUE VIEREM DE ROSA e as MENINAS QUE VIEREM DE AZUL já GANHAM 1 COMBO de 300 mL (entrando até 00:00)!<br>No BAR teremos:<br>✔ DRINKS ROSA E AZUL DUPLOS A NOITE TODA POR APENAS R$15,00!<br>✔ TEQUILA TRIPLA A NOITE TODA POR APENAS R$20,00!<br>✔ CEVA LITRÃO POR APENAS R$10,00 ATÉ 00:30!<br>✔ KITS PROMOCIONAIS A PARTIR DE R$130,00! (CONSULTE NO BAR)<br>Quer mais?<br>➤ Na pista vai rolar MARSHMALLOWS ROSAS E AZUIS + OS CLÁSSICOS PIRULITOS!<br>E no SOM?<br>Teremos Funk, Pop, Eletrônica, Hip Hop e muito mais!<br>Line up:<br>Don Pablo<br>Ricky Marx<br>Nani Goulart<br>Chris Demarc<br>Lucas Angellos<br>Vanessa Vanzin<br>Bruna Wierzynski<br>Aniversariantes (de 07/01 até 13/01):<br>Mande sua lista de aniversário (até às 20H do dia da festa) para (aniver.tabu@gmail.com) com os seguintes dados: Nome da festa no assunto, nome completo do aniversariante, data de aniversário do aniversariante, RG do aniversariante e uma lista mínima de 5 convidados com nomes completos.<br>O aniversariante entra FREE com fila preferencial.<br>Os convidados entram FREE até 00:00, após este horário pagam valor de lista de desconto (de acordo com os valores e horários de entrada descritos na seção Ingresso que está abaixo) e entram pela fila normal.<br>Obs.: Sua lista só será válida se você receber a confirmação por email. (LISTAS LIMITADAS)<br>Quando:<br>Dia 11 de JANEIRO | SEXTA | 23:00 às 06:00<br>Onde:<br>Tabu 386 (Nova Toca)<br>Av. Benjamin Constant, 321<br>Porto Alegre / RS<br>Ingresso:<br>• FREE até 00:00 (PRECISA ESTAR CONFIRMADO NO EVENTO)<br>• R$20,00: Da 00:00 até 01:00 (precisa estar confirmado no evento)<br>• R$30,00: Não confirmados no evento e/ou após 01:00.<br>OBS.: O nome na LISTA DE DESCONTO é adicionado através da PRESENÇA CONFIRMADA NO EVENTO (até às 20H do dia da festa)!<br>Arte: Tiago BW<br>*** Respeite as mina, as mana e as mona!<br>** Se beber vá de bus, táxi, Cabify ou Uber.<br>* Proibida a entrada de menores de 18 anos.<br>* Não é permitida a entrada de camisa / camiseta / blusa de time (independente do esporte) ou calçando chinelo.<br>* Não é permitida a entrada de mochila na pista, é necessário deixá-la na chapelaria.<br>* Não é permitido ficar sem camisa / camiseta / blusa / etc.<br>* Temos estacionamento próprio por apenas R$20,00 (a noite toda).<br>* Fumódromo encerra às 05:00.<br>* Aceitamos os cartões (débito e crédito): Visa, Master, Banri, Hiper e Elo.<br>* Obrigatório a apresentação de documento original com foto (RG, Carteira de Habilitação, Carteira de Trabalho ou Passaporte).",Dance
Sunset na Ilha Ediçao Summer dia 27 de Janeiro,"SUNSET NA ILHA EDIÇÃO SUMMER<br>• Dia 27/01, estamos de volta no local com o pôr do Sol mais lindo do RS, em uma edição Sunset na Marina Full Action, Ilha da Flores, um local mágico, onde vamos celebrar com o melhor do Low e EDM. <br>→ INGRESSOS NO LOCAL:<br>• Com nome no evento: UNISSEX: R$ 20,00 (até às 16h).<br>• Sem nome no evento ou após às 16h: UNISSEX: R$ 30,00.<br>• Para colocar seu nome na lista, escreva seu nome no mural do evento.<br>→ ANIVERSARIANTE DE JANEIRO ISENTO (SÓ TICKET ADMINISTRATIVO):<br>• Bastar publicar seu nome completo no evento e depois colocar entre parênteses (Aniversariante) marcando 5 amigos.<br>• Tem direito a levar um acompanhante isento, desde que entre junto!<br>• Válido até às 16h.<br>→ ESTACIONAMENTO: R$ 30,00.<br>→ CLASSIFICAÇÃO: 18 anos.<br> djs confirmados <br>Avilla<br>Fabio Flores vs Nask Groove<br>Araldi <br>Muah!<br>Upac<br>Alan Mino <br>Groove Disco",Dance
Retiro de Carnaval no Povo em Pé!,"Retiro de Yoga , Ayurveda e Tempo Natural na Prática ✨ <br>Esse é um retiro para pessoas que querem entrar em contato com um nível mais profundo do Ser e fortalecer os bons hábitos que trazem saúde e longevidade. A ética e formato deste retiro está fundamentada na diária de vida saudável e tem ênfase nas práticas de alimentação Ayurveda, estilo de vida, mente natural e ambiente saudável. 🌳🌷<br>...............................................................................................<br>👉🏽 Quando?<br>No feriado de carnaval, dias 02, 03, 04 e 05 de março de 2019, iniciando às 8:00 do dia 02 e encerrando às 17:00 do dia 05.<br>...............................................................................................<br>👉🏽 Aonde?<br>No Povo em Pé Centro de Yoga e Ayurveda, Av. Beira Rio, 1135 – Bairro Belém Novo, Porto Alegre/RS<br>...............................................................................................<br>👉🏽 Quanto tenho que investir?<br>R$ 1.080,00 em suíte dupla (2 vagas)<br>R$ 890,00 em quarto duplo com vestiário coletivo (8 vagas)<br>R$ 720,00 em quarto quádruplo com vestiário coletivo (4 vagas)<br>*** O investimento solicitado inclui além do próprio retiro e alojamento escolhido, instalações limpas, travesseiro, colcha e manta, alimentação vegetariana orgânica (café da manhã, almoço e janta, por 4 dias), todas as práticas e estudos oferecidos no programa, uso da piscina, pequenas apostilas, material da Lei do Tempo e terapeutas capacitados em Ayurveda, Yoga e Lei do Tempo.<br>...............................................................................................<br>👉🏽 Como posso pagar?<br>O valor escolhido em 3 parcelas da seguinte forma:<br>•	1 parte na reserva da vaga (não reembolsável em caso de não comparecimento ou desistência até 10 dias antes do retiro)<br>•	1 parte em dinheiro na chegada (02 de março)<br>•	1 parte no cartão para dia 05 de abril.<br>...............................................................................................<br>👉🏽Como faço para me inscrever?<br>Solicitando sua vaga e conta para depósito da primeira parcela, pelo e-mail contato@povoempe.com<br>...............................................................................................<br>Quero saber mais sobre este retiro!<br>🧘‍♀ Nossa proposta é formar um grupo harmônico com pessoas interessadas em vivenciarem dias de aprendizados da Ciência da Vida Natural. Despertaremos com o Sol, faremos limpezas, auto massagem, yoga, meditação e, ao longo do dia, entre lazer, piscina, caminhadas, oficinas de alimentação, atividades dirigidas e curso da Lei do Tempo, teremos pequenos módulos de aulas sobre o Ayurveda e estudos dos Yoga Sutras de Patanjali.<br>Dormiremos cedo após contemplarmos o céu em uma roda com Fogo sagrado.<br>Todos os participantes cuidam de tudo e se organizam em grupos diários para dividirem os afazeres. A alimentação será orientada por terapeutas e preparada, em forma de oficina, pelos participantes designados em cada refeição. O Yoga será estudado e praticado regularmente e a meditação, por sua vez, igualmente será abordada como uma ciência e praticada.<br>*O curso da Lei do Tempo será facilitado pela Rota Lunar. Leia abaixo sobre o Projeto Rota Lunar!<br>•	A equipe que mantém o trabalho desde a cozinha até as práticas de yoga, meditação e ayurveda, é formada por terapeutas e praticantes destas ciências e já desenvolvem seus trabalhos e suas práticas no Povo em Pé.<br>•	Nossas acomodações são simples e permitem vagas para 16 pessoas.<br>•	Toda a alimentação é orgânica e lacto-vegetariana com opção vegana.<br>•	O local é limpo, organizado, harmonizado, tem abundante natureza em área de mata nativa, rio e piscina.<br>*O curso da Lei do Tempo será facilitado pela Rota Lunar. <br>...............................................................................................<br>🌀 Sobre a Rota Lunar:<br>Esse é um nome inspirado no movimento da Lua e suas fases. Essa rotação foi a primeira contagem de tempo utilizada pela humanidade. Nossos ancestrais observaram que as fases da Lua refletem as mesmas flutuações que acontecem no corpo e na psique humana, bem como em toda a natureza.  <br> A Rota é um projeto de Educação para o Novo Tempo focada em disseminar as 13 Luas e a Lei do Tempo com uma linguagem simples, sem modificar a informação e honrando a fonte.  <br>Sobre as 13 Luas e a Lei do Tempo:  <br>13 Luas e a Lei do Tempo é uma contagem de tempo criada à partir dos ciclos naturais. Essa contagem está associada ao alinhamento da Terra, Sol e Estrela Sírius e trabalha com os ciclos: lunar, solar e galáctico.<br>Essa é uma ferramenta de orientação pessoal e estudos sobre o tempo que te auxilia a ter uma nova percepção da sua realidade além de te ajudar a compreender seu propósito e como harmonizar os desafios que encontra no seu caminho. <br>As 13 Luas não tem datas festivas. São 13 Luas (ou meses) de 28 dias cada. Cada dia tem uma qualidade que nos guia para um caminho de autoconhecimento e evolução da consciência.<br>Hoje o Calendário Gregoriano é a contagem de tempo que “governa” grande parte da população e a grande maioria das pessoas nunca se questionou sobre isso, de onde vem esse calendário e o que de fato ele influencia nas nossas mentes.<br>Mudar a contagem de tempo nos conecta com a nossa essência e com a forma natural e sincrônica de nos organizarmos no Tempo e Espaço, transformando nossos padrões mentais em novas memórias e unificando nosso corpo, mente e espírito.<br>A forma como você percebe o tempo é no que se transforma a sua mente e a sua realidade.<br>Esse é um trabalho baseado na obra de José Arguelles, PhD em História da Arte, um ativista da arte e consciência que dedicou grande parte da sua vida para a decodificação dos ensinamentos da cultura Maia, resultando na descoberta da Lei do Tempo e diversas obras escritas sobre o tema.<br>José Arguelles afirmou que estamos participando da transição biosfera- noosfera, onde a vida na Terra (biosfera) evolui para uma mente planetária desperta (noosfera).<br>Na noosfera o Tempo é Arte e a sincronicidade é uma experiência normal do dia-a-dia.<br>A Lei do Tempo apresenta um novo sistema de pensamento e percepção que unifica ciência, arte e espiritualidade.<br>O que abordamos nas aulas:<br>O Tempo, Mente, Noosfera (mente coletiva), Ciclos Naturais do Tempo, Matriz Lunar, Tzolkin, Onda Encantada, Oráculo do Destino, 7 chakras, meditação, Castelo do Destino.<br>...............................................................................................<br>Estamos aguardando você! <br>Gratos e Em União! ♥                                <br>Equipe Povo em Pé ",Wellness
Oficina de Brinquedos de Madeira + Circo Rapadura na FAE,"No sábado, dia 12 de janeiro, é sábado do Brincar na Feira! <br>Vai acontecer uma OFICINA DE BRINQUEDOS DE MADEIRA com o Walter, que participa na FAE a cada 15 dias com brinquedos ecológicos! O artesão oferecerá um kit de R$ 20 e ensinará as crianças a montarem o próprio brinquedo! A oficina ocorrerá das 9h às 12h30<br>Também contaremos com a presença de Cacá Sena (das 10h às 11h30) com o CIRCO RAPADURA: <br>Um circo de bonecos com equilíbrio, movimento e magia!<br>Um circo de palhaços onde todos os artistas são palhaços!<br>Um circo de brinquedo com bonecos de verdade !<br>Um grande circo com bonecos de apenas vinte centímetros<br>que se arriscam em saltos mortais!<br>Vem pra feira e trás a criançada junto para curtir!",Art
A Arte que Mora em Mim,"Investimento: R$60,00",Wellness
Baile de verão ☼ Caipirinha & Combo 2x,"BAILE DE VERÃO<br>12 de Janeiro<br>23h no Opinião<br>______________________________________________<br>!<br>O ano mal começou e nós estamos PEGANDO FOGO com essas temperaturas ALTÍSSIMAS!!<br>Mas aqui não tem ruim e a CAIPIRINHA É DUPLA pra te refrescar e te deixar EMBRAZADO a noite inteira!<br>Além disso, os djs chegam com o melhor do FUNK, REGGAETON & BRASILIDADES pra não te deixar parado!<br>Confere tudo que vai rolar:<br>// ATRAÇÕES<br>Sacolé alcoólico á noite toda<br>Decoração temática<br>Copos do baile de verão<br>// DRINKS & PROMOS<br>Shots de CATUABA <br>Caipirinha x2 até a 01h por R$30<br>Combo DUPLO á noite toda por R$25<br>// LINE<br> <br>INGRESSOS ANTECIPADOS --><br>Promocionais: R$20,00 (100 primeiros ganham copo)<br>Primeiro lote: R$25,00<br>Na hora: R$35,00<br>ANIVERSARIANTES --><br>Faz aniver em janeiro? Tua entrada é FREE enviando o nome na lista aqui: opiniao@opiniao.com.br<br>// PONTOS DE VENDA:<br>> SEM TAXA DE CONVENIÊNCIA:<br>Multisom – Bourbon Wallig, 2º piso. Fone: (51) 3329-6692.<br>> COM TAXA DE CONVENIÊNCIA (R$ 5,00):<br>Multisom — Rua dos Andradas, 1001. Fone: (51) 3931-5381.<br>Multisom — Bourbon Ipiranga, 1º piso. Fone: (51) 3315-8577.<br>Multisom — Shopping Praia de Belas, 3º piso. Fone: (51) 3931-5300.<br>Multisom — Shopping Iguatemi, 1º piso. Fone: (51) 3328-8448.<br>Multisom — Shopping Total, 1º piso. Fone: (51) 39315240.<br>Multisom — Barra Shopping Sul, térreo. Fone: (51) 3931-5223.<br>Multisom — Bourbon Novo Hamburgo. Fone: (51) 3594-1046.<br>Multisom — Shopping Canoas. Fone (51) 3941-6211.<br>Multisom — São Leopoldo Shopping Bourbon, 2º piso. Fone: (51) 3589-3006<br>Multisom — Parking Shopping Canoas, 1º piso. Fone: (51) 3477-5187<br>/// INFORMAÇÕES<br>- É proibida a entrada de menores de 18 anos.<br>- É obrigatória a apresentação de um documento original com foto recente (RG, Carteira de Habilitação ou Passaporte). - Aceitamos as bandeiras de cartão Visa, Master, Hiper e Elo Débito.<br>- RESPEITA AS MINA, AS MANA, AS MONA, O STAFF, RESPEITA TODO MUNDO!<br>Fotos: Patrick Rodeghiero<br>Bar Opinião – Rua José do Patrocínio, 834/POA-RS quarta, 14 de novembro, às 23h",Party
C.E.P.Y 1 e 2 + Aprofundamento e Treino De Professores de Yoga.,"Este curso de 3 anos consecutivos se destina a quem quiser se investir e se aprofundar na compreensão do Yoga tradicional, começar ou fortalecer uma busca pessoal de autoconhecimento e espiritual, logo não é indispensavel querer ser professor para participar.<br>No 1° ano os participantes abordarão as praticas de Yoga na perspectiva de instalar uma rotina, para incluir o Yoga nas suas vidas e logo ter uma melhor visão dos beneficios dessa diciplina.<br>Este 1° ano constituido dos Ciclos de Estudos e Pratica do Yoga niveis 1 e 2  é prerequisito para os 2 anos seguintes, onde os participantes experimentarão praticas mais avançadas.<br>Essa segunda parte do curso sera ocupada com uma aprendizagem ainda mais detalhada das tecnicas, abordagens de textos classicos, anatomia, controles dos conhecimentos e situações de ensino.<br>As praticas ensinadas seguem o metodo de Yoga classico e tradicional da Bihar School of Yoga, India conforme a formação dos profes ministrantes.<br>Os professores da Escola Pashupata Yoga, Ayurveda e Tantra:<br>Vivian Scussel Demarchi (Sannyasi Sanmitra) ensina há mais de 15 anos de forma simples e acessível a diversos públicos (especializada em gestantes, idosos e crianças). Diplomada em licenciatura plena em Educação Física pela UFRGS, a sua formação em Yoga iniciou em 2001, com os Professores Cosmelli e Vera Lucia Dias, em Porto Alegre.<br>Em 2005 participou da Convenção Internacional de Yoga na Colômbia onde recebeu sua iniciação espiritual e em 2006 foi certificada em Yogic Studies (estudos yogues) pela Bihar Yoga Bharati, Munger, na Índia onde ela viaja anualmente conciliando estilo de vida yoguico e estudos no ashram e também se especializou no ensino do Yoga para crianças com Rishi Swami Arundhati Saraswati (Canada).<br>Ao longo dos últimos dez anos ela viveu em ashrams na França e na Índia onde ensinou e aprofundou suas experiências e aprendizados nos diversos ramos do Yoga. <br>Formada como terapeuta Ayurvédica por Yoga Brahma Vidyalaya (Brazil) e American Institute of Vedic Studies (EUA), ela se especializa em diagnosticos, oleos essenciais e cosmeticos na perspectiva da saude. <br>Philippe Prin (Sannyasi Pranananda) nasceu na França onde, depois de se formar em línguas estrangeiras e filosofia, gestão de florestas e preservação da natureza, aprofundou seus estudos em Yoga: primeiramente com os ensinamentos do professor André Van Lysebeth e depois no Yogashram de l’Aube/França, onde vivenciou o estilo de vida yogue por 6 anos, sendo treinado e formado como professor nas disciplinas e ramos da tradição do Bihar Yoga pelas Swamis Brahmatattwa e Devanath Saraswati.<br>Iniciado espiritualmente em 2006, ele viaja desde então anualmente até a Índia para aprimorar seu conhecimento e continuar seu caminho espiritual, vivendo no ashram da Bihar School of Yoga, Munger, e no sul da Índia onde vai se retirar em um eremitério para experimentar o estilo de vida não-dual do Advaita-vedanta com Swami Pranavananda Brahmendra Avadhuta. <br>Especializado em raja yoga, kriya yoga e meditação, ele ensina de uma maneira pratica e didática.<br>Em 2013 ambos realizaram um treinamento de sannyasins no Sannyasa Peeth/Bihar School of Yoga, India, com o Swami Niranjanananda Saraswati que os ensinou praticas de meditação tantricas. Eles vivenciaram o estilo de vida de renunciante e receberam ensinos em sânscrito e cerimônias védicas.<br>Em novembro de 2016 encontraram o Shaktipatacharya Mahamandaleshwar Sri Swami Nardanand ji Maharaj, que os iniciou por meditação shaktipat na tradição do Siddha Maha Yoga e receberam Vanaprashta Diksha pelo mesmo em Fevereiro 2018 no Siddha Ashram, Ujjain, India.<br>Há 5 anos no Brasil, eles organizam oficinas, retiros e formações, em português, inglês e francês.<br>Inscrições abertas, vagas limitadas. <br>Para mais informações recebemos suas perguntas:<br>- inbox<br>- por e-mail pashupatayoga@gmail.com<br>- whatsapp 51.9920.50839 ou 51.9927.55119<br>HARI OM TAT SAT",Wellness
Terapia com Cristais,"Terapia com Cristais - Propriedades e técnicas curativas de pessoas e ambientes com Cristais<br>Vamos conhecer o encanto das pedras e cristais, saber onde “nasceram” e em qual ambiente extraordinário e rico de energia se desenvolveram.<br>Neste curso você vai aprender a fazer a conexão com seu cristal de poder, conhecer as técnicas e os princípios de atuação terapêutica dos cristais para autotratamento e atendimentos, assim como, tratar e harmonizar ambientes, utilizando mandalas e ancoragem energética.<br>Programação Módulo Básico:<br>1. Conexão com o cristal de poder<br>2. A história dos Cristais<br>3. Cristais e suas propriedades<br>4. Purificação, energização, ativação e programação dos Cristais<br>5. Princípios de atuação dos cristais na cura<br>6. Autotratamento, técnicas de limpeza e harmonização com Cristais<br>Módulo Avançado:<br>7. História de Atlântida e “meditaginação com cristais” <br>8. Equilibrando os chacras com cristais<br>9. O uso do pêndulo<br>10. Uso das pedras quentes<br>11. O poder das mandalas de cristais <br>12. Gradeamento de ambientes<br>13. A energia dos elixires<br>Investimento:<br>Curso completo: R$ 300,00 <br>Acompanha kit chacras (9 pedras) Certificado<br>Facilitadoras: Ana Maria Marques - Terapeuta Holística com formação em Cristaloterapia<br>Shana D' Ellwanger - Terapeuta Energética e Proprietária da Kisha Aromas e Cristais",Wellness
"Open do Margot :: Cerveja, Gin, Vodka :: 19.01 @Margot","VEM CHEGANDO O VERÃO... E apesar do combo ônibus lotado e gente suada, essa é nossa época favorita por motivos de: sol, calor, clima tropical, música alta e a desculpa pra pisar fundo no OPEN BAR! 🍻<br>E se não aguenta, bebe leite! 🍼<br>🍸 BEBIDAS 🍸<br>cerveja, gin tônica, vodka, combinho, cuba libre, água, refri até as 4h!<br>🎶 PISTAS:<br>PISTA1: indie!<br>Franz Ferdinand, Killers, Black Keys, Vampire Weekend, Wombats, XX, Death Cab For Cutie, Kasabian, Strokes, Foals, Libertines, MGMT, Kaiser Chiefs, Two Door Cinema Club, Vaccines, Foster The People, Arcade Fire, 1975, Phoenix, Editors, Cut Copy, Ting Tings, Interpol e muito mais! <br>PISTA2: hits e pop!<br>Kendrick Lamar, Kanye West, Diplo, Drake, Rihanna, Major Lazer, Zara Larsson, JAY Z, Halsey, Lorde, Tove Lo, The Weeknd, Dua Lipa, Post Malone, Bebe Rexha, Migos, Camila Cabello, Cardi B, Calvin Harris, Maroon 5, SZA, Travis Scott, A$AP Rocky, MØ, Khalid, Zayn e mais!<br>🎧 DJs: <br>>>> Gabriel Victorino<br>++ Bárbara Dahlem<br>+ Convidados<br>💳 ANTECIPADOS:<br>SITE E APP (<br>)<br>LOTE PROMOCIONAL (exclusivo): R$30<br>PRIMEIRO LOTE: R$40<br>SEGUNDO LOTE: R$45<br>TERCEIRO LOTE: R$50<br>SYMPLA: <br>>> NA HORA:: entrada sujeita a lotação da casa.<br>Com nome na lista: R$40<br>Sem nome na lista: R$60<br>---> Lista enviada pelo site margot.club ou confirmando presença no evento até as 21h do dia da festa.<br>*não é necessário imprimir o ingresso, pode mostrar o pdf pelo celular mesmo<br>• Reservas: mande uma mensagem pra nossa fan page e combinamos!<br>✨ Proibida a entrada calçando chinelo/rasteirinhas abertas no calcanhar e camiseta de time.<br>✨ Entrada só para maiores de 18 anos, com apresentação do RG atualizado.<br>✨ Aceitamos pagamento em dinheiro e cartões Visa, Mastercard, Elo e American Express.<br>Margot Club<br>R. João Alfredo, 577",Party
"Lançamento do livro ""Caminho para luamar"", de Patrícia Silveira","A <br> e o <br> convidam a todos para o lançamento do livro ""Caminho para luamar"", poemas de <br>O evento será realizado no dia 19 de janeiro (sábado) a partir das 18h0 na <br>, Avenida José do Patrocínio, 642, lado B, Bairro Cidade Baixa, Porto Alegre-RS<br>A entrada para o evento é gratuita e o exemplar estará à venda por R$ 40,00 (pagamentos em dinheiro e cartões de débito e crédito).<br>Link para compra: breve",Literature
Alquimia das Ervas,"Kisha apresenta:<br>Alquimia das Ervas<br>Preparando seu spray pessoal e sal de banho<br>Esse Workshop visa refazer sua conexão com a sabedoria dos nossos ancestrais.<br>Entre os temas abordados estão uma introdução sobre o início do uso de sais e ervas no banho e como esses elementos somados à água quente podem ajudar a relaxar ou até mesmo estimular o corpo, além de destacar as propriedades de várias ervas.<br>A Mãe Natureza proporciona ao homem uma infinidade de plantas com valores medicinais. A flora brasileira constitui uma fonte inesgotável de saúde e nossos ancestrais sempre souberam se aproveitar desta riqueza, pois o uso das plantas medicinais existe desde o início dos tempos.<br>No princípio existia apenas o conhecimento empírico. Hoje, porém, muitas pesquisas científicas comprovam as propriedades medicinais de várias plantas.<br>O poder das ervas vai além de seu uso medicinal, existe também seu poder mágico, que bem utilizado, nos auxilia em vários momentos, resgatando em nós e na situação a ser tratada, a alegria, confiança, proteção, prosperidade, afastando as más energias e irradiando o equilíbrio e saúde.<br>Escolhas naturais para o cuidado com a saúde é um dos caminhos para uma vida mais saudável. <br>Segundo o Dicionário Aurélio da Língua Portuguesa, Fitoterapia significa “Tratamento de doença mediante o uso de plantas”.<br>Há uma grande quantidade de plantas medicinais, em todas as partes do mundo, utilizadas a milhares de anos para tratamento de doenças.<br>Você em sintonia<br>Com o Bem Estar<br>Escolhas naturais para o cuidado com a saúde é um dos caminhos para uma vida mais saudável. Através das ervas medicinais, encontramos alternativas seguras para o alívio e a prevenção de inúmeras doenças e principalmente, o bem estar da sua energia vital.<br>Cada participante leva para casa, 1 sal de banho e 1 spray pessoal.<br>Os materiais para a produção serão disponibilizados no workshop.<br>Investimento: R$ 110,00<br>Faça sua inscrição no link abaixo:<br>Ministrante: Shana D’Ellwanger, Terapeuta Energética com formação em Fitoterapia Contemporânea, Fitobenzimento, Geobiologia Espiritual, Numerologia Cabalística, Florais de Saint Germain, Mestre Reiki Usui e Karuna Reiki e estudiosa apaixonada pela Aromaterapia e Cristais.<br>Idealizadora da Kisha Aromas e Cristais com muito amor e dedicação!",Wellness
"Deus me livre, mas quem me dera! :: OPEN BAR :: 23.01 @Margot","E voltamos pra mais uma noite de open bar, rangos delícia, luzinhas, neons, pistas fervendo, glitter e gente linda ♥<br>Agora que as responsabilidades de estudante aliviaram e o calor tá intensificando, já tá permitido open bar na quarta né?<br>::: OPEN de gin tônica, cerveja, vodka, hi-fi, cuba libre, combinho, rum, refri e água até as 4h! ♥ <br>E pra guardar na pele as lembranças desse rolê:<br>>>>>> Muito GLITTER pra todo mundo ficar brilhoso 💫<br>Uma noite pra quem quer:<br>👉 jogar tudo pro alto (e acordar arrependido)<br>👉 afogar as mágoas (e mantê-las assim até o sábado, no Margot)<br>👉 esquecer as provas (e acordar arrependido)<br>👉 começar o fim de semana antes (e lembrar que ainda tem a quinta-feira pra acordar cedo) <br>👉 achar um crush às 5am (e acordar arrependido)<br>👉 comemorar sua promoção no emprego (e chegar no outro dia de ressaca)<br>:: NO SOM: Indie & Rock 🎶<br>INDIE ROCK É:<br>The Black Keys, Arctic Monkeys, The Strokes, The Killers, Hard-fi, Bloc Party, The Kooks, The Fratellis, Foster The People, Arcade Fire, Kasabian, Kings Of Leon, Cajun Dance Party, Death From Above, 1979, Libertines, The Automatic, The Rakes, Editors, Joy Division, The Subways, White Stripes, Reverend & The Makers, Kaiser Chiefs, Razorlight, Babyshambles, Cut Copy, New Navy, Two Door Cinema Club, Vampire Weekend, Ting Tings, Primal Scream, Passion Pit, Radiohead, The XX, Death Cab For Cutie, Mystery Jets, Foals, MGMT, Peter, Bjorn & John, Phoenix, Darwin Deez, Black Kids, Matt & Kim, Lykke Li, Ra Ra Riot, Kings Of Convenience, La Roux, The Rapture, Friendly Fires, Klaxons, The Virgins, The Wombats, Von Bondies, Yeah Yeah Yeah's e muito mais!<br>E pra quem não é fã do indie, também rola: POP & HITS!<br>Dj's: <br>Gabriel Victorino<br>Bárbara Dahlem<br>+ Convidados<br>:: Aniversários e reservas: aniversariante tem vários benefícios! Chama inbox pra saber mais :)<br>NA LISTA (confirmando presença no evento até 21h de quarta ou pelo <br>): R$50<br>SEM LISTA: R$70<br>:: ANTECIPADOS (<br>):<br>LOTE PROMO: R$20 (ULTRAMEGALIMITADO)<br>PRIMEIRO LOTE: $30<br>SEGUNDO LOTE: $35<br>TERCEIRO LOTE: $40<br>INGRESSOS PELO SYMPLA: <br>*não é necessário imprimir o ingresso, pode mostrar o pdf pelo celular mesmo<br>✨ Proibida a entrada calçando chinelo/rasteirinhas abertas no calcanhar e camiseta de time de futebol. Bermuda e boné pode, gente!<br>✨ Entrada só para maiores de 18 anos, com apresentação do RG atualizado.<br>✨ Aceitamos pagamento em dinheiro e cartões Visa, Mastercard, Elo e American Express.<br>Margot Club<br>R. João Alfredo, 577",Party
Garden Festival 2019 - Além do Arco-íris,"Já se imaginou em um mundo mágico, repleto de música, arte e diversão? <br>Desfrute de um final de semana incrível com os maiores Djs do Brasil e do mundo, Mainstage com cenografia e shows inéditos, diversas festas temáticas, atividades, acampamento, brinquedos radicais e experiências incríveis que vão além da sua imaginação!<br>Seja bem-vindo ao Garden Music Festival ©‎<br>➭ Pré-Venda: 10.Setembro (SAVE THE DATE)<br>➭ Informações Completas: Em Breve.<br>Produção: DreamLAB<br>Realização: <br>Media Partner: <br> / <br> / <br>Instagram: @GardenMusicFestival <br>[ATENÇÃO - EVENTO NÃO OFICIAL]",Music
