organizers,address,datetimes,description,event_url,categories,name,place,label,label_b,label_c,label_d
['Grão Pará'],,['2019-03-01 10:00:00'],"SERRA DO RIO DO RASTRO <br>O percurso da rodovia SC-390 é caracterizado por subidas íngremes e curvas fechadas. A rodovia SC-390 que atravessa a Serra do Rio do Rastro recentemente ganhou o título de ""Carretera Asombrosa"" (tradução: Estrada Espetacular) de uma enquete de uma revista espanhola.<br>SERRA DO CORVO BRANCO <br>A serra do Corvo Branco está localizada no sul do estado de Santa Catarina, pela qual passa a Rodovia Estadual SC-370, estrada que liga os municípios de Urubici e Grão Pará, por cerca de 56,5 km, sendo que a diferença de altitude entre as duas cidades é de 805 metros (Grão Pará 110 m e Urubicí 915 m acima do nível do mar).<br>A serra recebe este nome devido a uma ave de rara beleza, conhecida como Urubu-rei. Esta ave, de plumagem branca e alguns detalhes coloridos, desconhecida pelos habitantes locais, foi apelidada erroneamente de corvo, originando o nome Corvo Branco.<br>PIRÂMIDES SAGRADAS <br>Localizadas dentro do Parque Estadual da Serra Furada, são uma formação geológica de raríssima beleza.  Nossa trilha passará próximo à base das Pirâmides Sagradas e permitirá avisá-los de diversos ângulos. <br>CAMINHO DAS PITAYAS <br>O Caminho das Pitayas possui um grande campo de plantação da fruta, com diversidade de espécies. O casal de proprietários se empenha diariamente no cultivo da pitaya que inicia sua floração em novembro, com produção, aproximadamente, até maio.<br>Neste local, são cultivados 6 tipos de Pitayas. <br>Valor 680 reais<br>Entrada: 280 reais até 10 de janeiro <br>2° parcela: 200 reais até 10 de fevereiro <br>3° parcela: 200 reais  até 25 de fevereiro <br>Número de vagas: 18<br>O que inclui: Transporte ida e volta, acompanhamento de guia, 2 diárias na Pousada das Pirâmides, 1 cafe da manhã, 2 jantares, um café colonial no Café Caminho das Pitayas. <br>O QUE USAR: Roupas leves e calçados adequados para trekking. <br>O QUE LEVAR:    Mochila pequena com água ou suco, repelente, protetor solar, boné ou chapéu , bastão de caminhada caso preferir, lanche de trilha como sanduiches, frutas ou barrinhas de cereal, roupas e calçados extras para a troca após o término da caminhada.<br>Locais de saída:<br> <br>CAMPO BOM: 22:00  em frente à Unimed <br>.<br>NOVO  HAMBURGO:  22:25  em frente ao Pica-Pau  Lanches <br>SÃO  LEOPOLDO: 22:35 no posto Ipiranga que fica em frente ao Ginásio Celso Mombach<br>PORTO ALEGRE: 23:20 no Haud Park <br>COMO FAZER SUA INSCRIÇÃO: Você deve enviar seu nome completo e RG.<br>COMO EFETUAR SEU PAGAMENTO ;  Caixa Economica Federal , Ag. 0461 Conta Poupança 00109908-5 Op. 013 em nome de Edson Mazera .Em caso de transferencia solicitar CPF.<br>Critérios para cancelamento e reembolso:<br>Até 72 horas antes do evento: 80% do valor <br>Até 48 horas antes do evento: 50% do valor <br>Até 24 horas antes do evento: não haverá reembolso <br>IMPORTANTE: O seguro individual não está incluído no valor do passeio.<br>ATENÇÃO PARA ESTES AVISOS! A apresentação do Documento de Idendade (RG) é obrigatória no momento do embarque. O uso do cinto de segurança é obrigatório durante todo o deslocamento do veículo. Não é permida a presença de animais de esmação. Não é permido o consumo de bebidas alcoólicas dentro do veículo e nem durante o percurso de nossa caminhada. Durante o percurso da caminhada, mantenha sempre o condutor dentro do seu campo de visão. Não se afaste nunca do grupo, pois o risco de se perder aumenta e, em caso de lesões, o socorro pode demorar mais. Não se aproxime de precipícios, de cercas elétricas e não pule cercas invadindo propriedades privadas. Respeite os moradores locais. Traga de volta todo o lixo que produzir (inclusive papel higiênico e lenços umedecidos). Não ofereça alimentos a qualquer po de animal, seja selvagem ou domésco. Preste atenção onde pisa e observe onde apoia a mão. Cuidado com animais peçonhentos como cobras, aranhas e escorpiões. Caso aviste algum destes animais, informe imediatamente os organizadores e seus companheiros de caminhadas, a fim de que possam evitá-lo. Tome banho de rio, cascata ou lago somente após a autorização e as recomendações de segurança dos organizadores da caminhada. Em alguns locais, o banho não será permido. Em outros, será permido desde que cumpridas todas as normas de segurança. Atenção! A água pode produzir uma ilusão de óca, dando a impressão visual de que um poço profundo é um lugar de águas rasas e super4cies de águas mansas podem ter correnteza na profundeza! Informe os organizadores da caminhada sobre as seguintes situações de saúde quando esverem presentes: limitações 4sicas (ex: artrose, redução da capacidade visual ou audiva), enfermidades agudas (ex: resfriado, amigdalite, etc) ou  enfermidades crônicas (ex: diabetes, hipertensão arterial sistêmica, etc). Na dúvida sobre o que informar, consulte os organizadores do evento. Pessoas em uso de medicação de uso con8nuo devem portá-la consigo durante todo o tempo da viagem. Em caso de lesão, de desconforto 4sico ou do aparecimento de algum signo ou sintoma não frequente (ex: febre, náuseas, taquicardia, etc.) informe imediatamente aos organizadores da caminhada. Temos a nossa disposição medicação de primeiros socorros que poderá ser úl. Caso seja necessário, providenciaremos atendimento de maior complexidade. Por favor, não omita nada! Estamos a sua disposição! Por favor, aceite o atendimento quando oferecido. Algumas situações de saúde podem ser facilmente contornadas quando aparecem, evitando que os sintomas se intensifiquem. Assim como nós temos um compromisso com você, você também tem um compromisso com o grupo. Cada parcipante será responsável por providenciar e levar a sua própria água durante a caminhada. Recomendamos, pelo menos, 1,5 litros. Cada parcipante será responsável por providenciar e levar o seu próprio lanche durante a caminhada. Lembre-se de levar protetor solar. Evite sel/es em locais perigosos.OBRIGADO PELA SUA COMPANHIA NESTA AVENTURA",https://www.facebook.com/events/365161500960741,,"SERRA DO RIO DO RASTRO, SERRA DO CORVO BRANCO,PIRÂMIDES SAGRADAS",Grão Pará,aventureiro,,,
['Fundação Iberê Camargo'],"Av. Padre Cacique, 2000, 90810-240 Porto Alegre",['2019-01-19 04:00:00'],"O que acontece com um trabalho acometido por um desastre climático? Qual a natureza de uma obra de arte que se transforma, reconfigura e protagoniza os eventos que a danificaram?<br>No sábado, 19 de janeiro, te convidamos a mergulhar nas mutações da obra de Denise Gadelha que participam da exposição Náufragos na Correnteza do Tempo. A artista estará presente para uma conversa com o público, revelando os bastidores do processo de trabalho em diálogo com a dinâmica de montagem.<br>A atividade é gratuita, com inscrições no local.<br>Sobre a Artista:<br>Denise Gadelha nasceu em 1980, Belém, PA. Gaúcha de criação, vive e trabalha em São Paulo. É mestre em Poéticas Visuais pelo PPGAVI da UFRGS. Em 2017 participou das mostras Antilogias: o fotográfico na Pinacoteca (Pina_SP), O que a Imagem Não Revela (ISLA, São Paulo) e De Rerum Natura (Camera F. Lugano, Suíça). Organizou a mostra PHOTO-PAGED (Centre de la Photographie Genève, Suíça), TransNaturae (MIA-Photo Fair, Milão, Itália), os eventos Livrotecagem + Escambo (Galeria Vermelho, SP). Dentre as exposições anteriores destaca-se a Bienal de Fotografia de Lima com a individual DúO na Galeria El Ojo Ajeno, Peru, 2014; Meta-espaço, na Funarte São Paulo, 2010; A Ideia de História na Bolsa de Arte de Porto Alegre, 2008; Observatório, no Torreão, em POA, 2006 e Condensável, na Galeria Lunara, Usina do Gasômetro, POA, 2001. Entre as principais coletivas sobressaem Geração 00: a Nova Fotografia Brasileira, Sesc Belenzinho, São Paulo, 2011; Histórias de Mapas, Piratas e Tesouros, Itaú Cultural, São Paulo, 2010; Coleção MAM-BA, 50 Anos de Arte Brasileira, Salvador, 2009, Grandes Formatos, MAM-RJ, Rio de Janeiro, 2008; Paradoxos – Rumos Itaú Cultural 2006-7, em várias cidades.",https://www.facebook.com/events/310253992946887,['Art'],Conversa com a artista Denise Gadelha,Fundação Iberê Camargo,cult,arte,,
['Gustavo Cunha'],"Antonio dos Anjos, 1040, 96010700 Pelotas, Brazil",['2019-01-16 09:00:00'],"Na próxima quarta-feira, dia 16/01 o <br> recebe o músico/compositor pelotense Gustavo Cunha, com o show de seu segundo álbum 'vaga-lume-grão', lançado pelo selo <br>.<br>Para a noite no Alegoria, Gustavo estará acompanhado dos músicos Dionísio Souza (baixo), e Lucas Fê (bateria), revisitando ainda músicas de seu primeiro álbum 'Lo-Fi', de 2015. <br>A casa estará aberta esperando por vocês a partir das 18h, e o show começa às 21h. <br>| SERVIÇO |<br>Gustavo Cunha | vaga-lume-grão<br>Onde: Alegoria Casa Bar (Rua Antônio dos Anjos - 1040)<br>Quando: 16/01/19 às 21h.<br>ENTRADA: R$ 12.<br>Saiba um pouco mais sobre este trabalho: <br>vaga-lume-grão é o segundo álbum do pelotense Gustavo Cunha, lançado pelo selo Escápula Records. Seu disco de estreia, Lo-Fi, foi lançado em 2015 de forma independente pelo músico, que, na época, trabalhou com psicodelia eletrônica e experimentações cinematográficas. O lançamento de agora é uma continuação do processo de gravações realizadas em home studio, resultando em uma sonoridade lo-fi. O disco reflete sobre a memória e a imaginação como poética predominante, percorrendo uma ambientação imaginária através de suas letras (sendo quatro delas escritas em parceria com a artista Gabriela Cunha) e de sua sonoridade, que varia entre a leveza e o peso, o orgânico e o eletrônico. <br>O título vaga-lume-grão surge de uma abstração. É como um espaço inexistente, um ambiente imagético onde a poesia das músicas habita. Nesse ambiente imaginado, cada uma das três palavras se complementam, formando o percurso de uma narrativa. Vagar através do lume (luz, luminescência) e do grão, como acesso à memória e a imaginação, abertas à interpretação do ouvinte. Com referências à fotografia analógica (lume e grão/granulado), presente também em todo conceito do projeto gráfico do álbum.<br>vaga-lume-grão foi gravado por Gustavo Cunha, co-produzido e mixado por Vini Albernaz, no Estúdio Cabeça de Algodão (Pelotas - RS) e masterizado por Lauro Maia, no A Vapor Estúdio (Pelotas - RS).<br>Para ouvir o disco na íntegra: ",https://www.facebook.com/events/1454468758022666,['Music'],Gustavo Cunha | vaga-lume-grão no Alegoria Casa Bar,Alegoria Casa Bar,,show,,
['Lutti Pereira'],"Avenida Érico Veríssimo, 307, 90160-181 Porto Alegre","['2019-02-15 21:00:00', '2019-02-16 21:00:00', '2019-02-17 21:00:00']","Quatro personagens, com diferentes personalidades e tipos de TOC, encontram-se num improvável consultório. Enquanto esperam pelo famoso Dr. Clóvis Schartzmann, para uma sessão de psicoterapia, compartilham suas vidas e desenvolvem uma estranha relação. Uma comédia para quem tem mania de bom humor!<br>Autor: Artur Jose Pinto <br>Direção: <br> <br>Elenco: <br>Daniel Lion<br>, <br>, <br> e <br>Cenário e Figurino: <br>Daniel Lion<br>Iluminação: <br>Fernando Ochoa<br> <br>Realização: <br> Produções <br>Classificação Etária: 14 anos Duração: 60min",https://www.facebook.com/events/1972092109751051,"['Art', 'Performing arts', 'Comedy (theater)']",TOC Uma Comédia Obsessiva Compulsiva,Teatro Renascença,cult,teatro,,
['Kino Beat'],"1640  Avenida Doutor Nilo Peçanha, Porto Alegre",['2019-01-13 08:00:00'],"Era uma vez o nada. Uma grande explosão. Era a matéria em trânsito. Matéria escura, nebulosas, galáxias, ondas gravitacionais, estrelas, planetas, pulsares, quasares, órbitas, células, satélites. Asteróide é uma performance audiovisual que explora a gravidade como catalisador da potência do mundo, desenvolvida especialmente para o 5˚ festival Kino Beat.<br>Fernando Velázquez é artista transdisciplinar. Suas obras incluem vídeos, instalações e objetos interativos, performances audiovisuais e imagens geradas com recursos algorítmicos. Na sua pesquisa explora a relação entre Natureza e Cultura colocando em diálogo dois tópicos principais, as capacidades perceptivas do corpo humano e a mediação da realidade por dispositivos técnicos. <br>Se interessa pelo cruzamento da arte com outras áreas do conhecimento como a ciência, a filosofia e a antropologia visual de forma a construir processos e metodologias híbridas.<br>O Kino Beat  tem Patrocínio Master da Oi, patrocínio Stella Artois, apoio cultural da Oi Futuro, com financiamento Pró-Cultura RS - Lei de Incentivo à Cultura, Secretaria de Estado da Cultura, Turismo, Esporte e Lazer do Rio Grande do Sul.<br>5˚ Festival Kino Beat - 13 de novembro à 13 de janeiro<br>Av. Dr. Nilo Peçanha, 1600 - Boa Vista, <br>20h- Entrada Franca<br>Retirada de ingressos 1h antes do espetáculo.",https://www.facebook.com/events/196442314584070,['Art'],Asteróide | 5˚ Kino Beat,Teatro Da Unisinos,cult,teatro,,
['Fundação Iberê Camargo'],"Av. Padre Cacique, 2000, 90810-240 Porto Alegre",['2019-01-26 04:00:00'],"O projeto Através de Iberê tem como ponto de partida o convite a um curador/crítico/artista/amigo de Iberê Camargo para que eleja uma obra do acervo da Fundação e a explore discursiva ou performaticamente diante do público.<br>Durante a fala do convidado, a obra ficará exposta no auditório e, mais do que uma análise histórica, serão propostas questões envolvendo a vida e a obra do artista, em uma abordagem livre e exploratória nos mais diversos sentidos plásticos, narrativos ou mesmo históricos.<br>No sábado 26/01, às 16h, o convidado é o pesquisador, curador e crítico de arte Francisco Dalcol, que abordará a obra “Desdobramento” (1978), acompanhado do artista Frantz, que apresentará um trabalho desenvolvido a partir de reproduções de obras de Iberê.<br>Carretéis: motivo e obsessão — uma leitura crítica e uma intervenção artística<br>Quando Iberê Camargo (1914-1994) introduziu os famosos carretéis em suas pinturas e gravuras, o artista não apenas resgatou uma memória da própria infância como motivo, como também deu início a um embate com este objeto que se estenderia por quase 30 anos.<br>Os carretéis aparecem nos anos 1950,primeiramente equilibrando-se sobre as mesas de suas naturezas-mortas; a seguir passando a se movimentar no espaço paralogo explodirem<br>em abstração;até, por fim, retomarem certa ordem, prenunciando a fase dos anos 1980 em que Iberê reencontraria a figuração de viés expressionista com que encaminhou a etapa final de sua obra. <br>Nessa trajetória de sua obra, Iberê gerou diferentes interpretações. Por vezes, foi consideradoabstrato informal; noutras, abstrato geométrico — categorizações todas que refutava —; e, finalmente, um artista que expressava a memória e o drama da existência.<br>Ao eleger a pintura “Desdobramento” (1978) como um ponto de partida e chegada para se observar as passagens e os encaminhamentos que os carretéis emprestam à produção de Iberê, Francisco Dalcol explora a presença e a recorrência deste objeto pensando-o como motivo de obsessão pelo artista. Obsessão no sentido de um embate que se move ao mesmo tempo entre o formal e o conceitual, o subjetivo e o universal, o singular e o absoluto.<br>Acompanhando essa análise e reflexão, o artista Frantz apresenta um trabalho que opera como um gesto de desconstrução da inteligibilidade argumentativa em que se assenta o discurso crítico e historiográfico. Em sua proposição, o artista se apropria de reproduções de obras de Iberê a partir de um catálogo de uma exposição dedicada aos carretéis na Fundação Iberê Camargo. <br>O trabalho integra o projeto “Roubadas”, no qual Frantz intervém nos discursos visuais e textuais contidos nas publicações artísticas, manipulando e editando as imagens e os textos que encontra ao longo das páginas. Mais do que o embaralhamento e o apagamento das autorias, essa operação de apropriar-e-intervir dá a ver sempre uma obra outra, embora ao mesmo tempo impossível de ser desvinculada por completo de seu referente anterior. São também desdobramentos, porque efeito de algum tipo de ação e intervenção, o que nos mostra que a realidade é sempre uma construção a ser mediada, e a arte a operação que se ocupa de intervir nesse real construído.<br>A OBRA<br>“Desdobramento” (1978)<br>Óleo sobre tela<br>100 x 141 cm<br>FRANCISCO DALCOL<br>Pesquisador, crítico, curador, editor e jornalista. Vive e trabalha desde Porto Alegre (RS). Doutor em História, Teoria e Crítica de Arte pelo Programa de Pós-Graduação em Artes Visuais (PPGAV) da Universidade Federal do Rio Grande do Sul (UFRGS), com estágio de doutoramento no exterior pela Universidade Nova de Lisboa (UNL). Também mestre em História, Teoria e Crítica de Arte, sua dissertação é resultado de um estudo sobre a institucionalização de Iberê Camargo a partir do programa curatorial e de exposições da Fundação Iberê Camargo. É membro da Associação Internacional de Críticos de Arte (AICA), da Associação Brasileira de Críticos de Arte (ABCA) e da Associação Brasileira de Pesquisadores em Artes Plásticas (ANPAP). Em 2017 e 2018, integrou o Júri de Indicação do Prêmio PIPA. Em 2016, ganhou a 1ª menção honorífica no Incentive Prize for Young Critics, concedido pela AICA. Entre 2012 e 2016, foi editor e crítico de arte do jornal Zero Hora, de Porto Alegre (RS). Entre suas curadorias, tem trabalhado com artistas contemporâneos atuantes em Porto Alegre e desenvolvido projetos de exposições individuais e coletivas em galerias, instituições e museus.<br>FRANTZ<br>Vive e desenvolve seu trabalho artístico em Porto Alegre, com ênfase napesquisa em pintura e suas reverberações em proposições conceituais. Suaprática artística é marcada pela apropriação de resquícios e elementos residuais, que são incorporados à sua poética,tornando-se a própria pintura. Os trabalhos dessa produção são realizados em formatos diversos,desdobrando-se emobjetos, livros, instalações e mesmo quadros bidimensionais.  Em sua trajetória iniciada nos anos 1980, já apresentou diversas individuais e participou de dezenas de exposições coletivas. Em 2018, foram as mostras coletivas “O tempo das coisas - módulo 2”, na Pinacoteca Ruben Berta de Porto Alegre; “O lugar enquanto espaço”, na Galeria Baró, em São Paulo; ambas com curadoria de Francisco Dalcol; “Aã”, na Fundação Vera Chaves Barcelos, em Viamão; e “Torus”, na Galeria Mamute, em Porto Alegre, estas duas com curadoria do duo ÍO.",https://www.facebook.com/events/225372421719155,['Art'],Através de Iberê | Francisco Dalcol + Frantz,Fundação Iberê Camargo,cult,arte,,
['Três Cachoeiras'],,['2019-01-20 05:00:00'],"A Cascata da Pedra Branca e uma queda d'água de rara beleza localizada na divisa das cidades de Itati e Três Forquilhas. Os visitantes tem acesso a ela através de uma trilha de rara beleza em um trecho que conserva resquícios da Mata Atlântica. <br>Poço dos Morcegos e Poço das Andorinhas são atrativos naturais do município de Três Cachoeiras. Encantam pela transparência e cor esverdeada da água. O Poço das Andorinhas tem um tobogã natural e permite banho. <br>Distância: Teremos aproxinadamente 10 kms de caminhada , nivel facil em estradas de chão batido . <br>Valor:130 reais <br>Prazo máximo de pagamento: 10.de janeiro <br>Número de vagas: 18<br>O que inclui: Transporte ida e volta e acompanhamento de guia. <br>O QUE USAR: Roupas leves e calçados adequados para trekking. <br>O QUE LEVAR:    Mochila pequena com água ou suco, repelente, protetor solar, boné ou chapéu , bastão de caminhada caso preferir, lanche de trilha como sanduiches, frutas ou barrinhas de cereal, roupas e calçados extras para a troca após o término da caminhada.<br>Locais de saída:<br> <br>CAMPO BOM: 5:00  em frente à Unimed <br>.<br>NOVO  HAMBURGO:  5:25  em frente ao Pica-Pau  Lanches <br>SÃO  LEOPOLDO: 5:35 no posto Ipiranga que fica em frente ao Ginásio Celso Mombach<br>PORTO ALEGRE: 6:20 no Haud Park <br>COMO FAZER SUA INSCRIÇÃO: Você deve enviar seu nome completo e RG.<br>COMO EFETUAR SEU PAGAMENTO ;  Caixa Economica Federal , Ag. 0461 Conta Poupança 00109908-5 Op. 013 em nome de Edson Mazera .Em caso de transferencia solicitar CPF.<br>Critérios para cancelamento e reembolso:<br>Até 72 horas antes do evento: 80% do valor <br>Até 48 horas antes do evento: 50% do valor <br>Até 24 horas antes do evento: não haverá reembolso <br>IMPORTANTE: O seguro individual não está incluído no valor do passeio.<br>ATENÇÃO PARA ESTES AVISOS! A apresentação do Documento de Idendade (RG) é obrigatória no momento do embarque. O uso do cinto de segurança é obrigatório durante todo o deslocamento do veículo. Não é permida a presença de animais de esmação. Não é permido o consumo de bebidas alcoólicas dentro do veículo e nem durante o percurso de nossa caminhada. Durante o percurso da caminhada, mantenha sempre o condutor dentro do seu campo de visão. Não se afaste nunca do grupo, pois o risco de se perder aumenta e, em caso de lesões, o socorro pode demorar mais. Não se aproxime de precipícios, de cercas elétricas e não pule cercas invadindo propriedades privadas. Respeite os moradores locais. Traga de volta todo o lixo que produzir (inclusive papel higiênico e lenços umedecidos). Não ofereça alimentos a qualquer po de animal, seja selvagem ou domésco. Preste atenção onde pisa e observe onde apoia a mão. Cuidado com animais peçonhentos como cobras, aranhas e escorpiões. Caso aviste algum destes animais, informe imediatamente os organizadores e seus companheiros de caminhadas, a fim de que possam evitá-lo. Tome banho de rio, cascata ou lago somente após a autorização e as recomendações de segurança dos organizadores da caminhada. Em alguns locais, o banho não será permido. Em outros, será permido desde que cumpridas todas as normas de segurança. Atenção! A água pode produzir uma ilusão de óca, dando a impressão visual de que um poço profundo é um lugar de águas rasas e super4cies de águas mansas podem ter correnteza na profundeza! Informe os organizadores da caminhada sobre as seguintes situações de saúde quando esverem presentes: limitações 4sicas (ex: artrose, redução da capacidade visual ou audiva), enfermidades agudas (ex: resfriado, amigdalite, etc) ou  enfermidades crônicas (ex: diabetes, hipertensão arterial sistêmica, etc). Na dúvida sobre o que informar, consulte os organizadores do evento. Pessoas em uso de medicação de uso con8nuo devem portá-la consigo durante todo o tempo da viagem. Em caso de lesão, de desconforto 4sico ou do aparecimento de algum signo ou sintoma não frequente (ex: febre, náuseas, taquicardia, etc.) informe imediatamente aos organizadores da caminhada. Temos a nossa disposição medicação de primeiros socorros que poderá ser úl. Caso seja necessário, providenciaremos atendimento de maior complexidade. Por favor, não omita nada! Estamos a sua disposição! Por favor, aceite o atendimento quando oferecido. Algumas situações de saúde podem ser facilmente contornadas quando aparecem, evitando que os sintomas se intensifiquem. Assim como nós temos um compromisso com você, você também tem um compromisso com o grupo. Cada parcipante será responsável por providenciar e levar a sua própria água durante a caminhada. Recomendamos, pelo menos, 1,5 litros. Cada parcipante será responsável por providenciar e levar o seu próprio lanche durante a caminhada. Lembre-se de levar protetor solar. Evite sel/es em locais perigosos.OBRIGADO PELA SUA COMPANHIA NESTA AVENTURA",https://www.facebook.com/events/301499253904477,,"CASCATA DA PEDRA BRANCA, POÇO DOS MORCEGOS E POÇO DAS ANDORINHAS",Três Cachoeiras,aventureiro,,,
['Lacunaz'],"Rua dos Andradas, 1223, 90020-008 Porto Alegre","['2019-01-26 14:30:00', '2019-02-02 14:30:00', '2019-02-09 14:30:00']","As cidades estão mudando, nosso mundo está mudando. <br>A oficina tem como objetivo ampliar a percepção sobre a cidade, a fotografia urbana, de arquitetura e seus significados. Dividida em quatro aulas, aonde são mescladas teoria, prática e técnica sem deixar de lado a importância dos debates sobre a cidade, suas mudanças e a importância da foto como registro histórico.<br>As aulas acontecem por quatro sábados seguidos, tendo início no dia 26/01. <br>° Pré-requisitos:<br>Qualquer tipo de câmera: profissional, semiprofissional, amadora ou celular.<br>° Cronograma:<br>Aula 1<br>- Introdução à fotografia<br>- Filmes e seus formatos. Diferenças entre tamanhos de sensores e suas finalidades<br>- ISO, diafragma e obturador - Conhecendo sua câmera.<br>- Desmistificação sobre equipamentos<br>- Prática<br>Aula 2<br>- A fotografia como expressão artística<br>- O olhar fotográfico<br>- Referencial<br>- A fotografia de arquitetura<br>- Referencial<br>- Prática<br>Aula 3<br>- A cidade<br>- O registro como expressão<br>- Fotografia de rua<br>- Referencial<br>- Mobgrafia – Conceitos e prática<br>- Referencial<br>- Prática<br>Aula 4<br>- O registro urbano<br>- Semiótica<br>- O digital como influência<br>- A fotografia como documento histórico<br>- Prática<br>° O oficineiro:<br>Guilherme Mercado, jornalista formado pela PUCRS e fotógrafo com mais de 10 anos de experiência em fotografia urbana, conta com os cursos de extensão ""The Architectural Imagination"" e ""CitiesX: The Past, Present and Future of Urban Life"" ambos oferecidos pela Universidade de Harvard. <br>° Portfólio: <br>° Local: Local: R. dos Andradas, 1223 - Centro Histórico, Porto Alegre<br>Turmas aos sábados das 14:30 às 16:30. <br>° Número de vagas: 15<br>° Valor: R$200,00.<br>Pagamento à vista, 2x no débito ou parcelado em até 4x em dinheiro. <br>° Inscrições e informações:<br>lacunazfoto@gmail.com<br>WhatsApp: (51) 99283-0103",https://www.facebook.com/events/609351592847714,"['Art', 'Photography', 'Architecture']","Oficina - Fotografia, cidade, história",Centro Cultural CEEE Erico Verissimo,cult,curso,,
['Porto Verão Alegre'],"Rua Guilherme Schell, 5340 - Centro, Canoas",['2019-01-19 08:00:00'],"TEATRO<br>Porto Verão Alegre 2019<br>Os Dois Gêmeos Venezianos<br>Data: 19/01 (sábado)<br>Horário: 20 horas<br>Local: Teatro do Sesc Canoas<br>Classificação: Livre<br>Duração: 70 mins<br>Sinopse para divulgação:<br>O centro da trama de “Os dois gêmeos venezianos” são os equívocos causados por Fabrício e Tonino, gêmeos idênticos que se encontram na mesma cidade, mas desconhecem a presença um do outro. O caos se estabelece quando joias, bagagens, declarações de amor são enviadas ao irmão equivocado. Todos os outros personagens acabam envolvidos nesse jogo de erros, criando situações hilárias e absurdas, típicas da commedia dell’arte. A Trupe executa as canções originais e a trilha ao vivo.<br>Ingressos:<br>- R$ 10,00 – para pessoas que possuem o Cartão Sesc/Senac na categoria Comércio e Serviços:<br>- R$ 11,00 - para a classe artística, estudantes, professores, pessoas acima de 60 anos e doadores de sangue (benefício concedido mediante comprovação);<br>- R$ 15,00 – pessoas que possuem o Cartão Sesc/Senac na categoria Empresários;<br>- R$ 22,00 – para o público em geral.<br>Vendas pelo Festival (pontos de venda do POA Verão Alegre)<br>Antecipados:<br>- R$ 30,00 - Inteira<br>- R$ 24,00- ZH e Banri<br>- R$ 20,00 - Idosos,estudantes e outras categorias previstas na Lei da Meia entrada<br>Na hora :<br>- R$ 40,00 - Inteira<br>- R$ 32,00- ZH e Banri<br>- R$ 20,00 - Idosos,estudantes e outras categorias previstas na Lei da Meia entrada",https://www.facebook.com/events/278790499504814,['Art'],Os Dois Gêmeos Venezianos | Sesc Canoas,Sesc Canoas,cult,teatro,,
"['Teatro Sarcáustico', 'Lúcia e o navio espaçonave', 'Grupo Oazes']","Av. Cristóvão Colombo, 400 - Fone: 51 32689669, 90560-003 Porto Alegre","['2019-01-14 14:00:00', '2019-01-15 14:00:00', '2019-01-16 14:00:00']","Em uma parceria inédita dos grupos Teatro Sarcáustico, T.O.D.A.S. e Grupo Oazes, Brincando de Todas as Artes - Criação livre para crianças nasce da união de profes que acreditam na potência da transdisciplinaridade artística. O teatro é uma arte onde todas as outras artes se encontram e nesta edição do curso trabalharemos musicalização, artes visuais, teatro e expressão corporal e vocal transformando tudo numa grande brincadeira proporcionando um espaço de liberdade criativa e segurança para que a criançada possa alçar voos imaginativos.<br>De 14 a 17 de janeiro, das 14h às 17:30, Lisiane Medeiros, Guadalupe Casal, Ricardo Zigomático e Ursula Collischonn estarão recebendo crianças de 06 a 12 anos na Casa Cultural Tony Petzhold.  A criança pode vir quantas vezes quiser, um, dois, três dias, mas adquirindo o pacote completo dos 4 dias temos preços promocionais. <br>Preencha o formulário no link abaixo e garanta sua vaga!<br>SERVIÇO<br>O QUÊ: Brincando de Todas as Artes - Criação livre para crianças<br>QUANDO: De 14 a 17 de janeiro, das 14h às 17:30<br>ONDE: Casa Cultural Tony Petzhold - <br>Av. Cristóvão Colombo, 400 -Porto Alegre,<br> PARA QUEM: crianças de 06 a 12 anos<br>QUANTO: Apenas um dia – 80,00 / Dois dias – 140,00 /Três dias – 180,00 Pacote promocional de quatro dias – 200,00**<br>** Consulte promoções para duplas e amigos, parentes e filhas/filhos de profes e classe artística**<br>Contato através dos whats: (51) 98027-9713 / (51) 99296-9477 <br> (51) 99627-1517/ (51) 99853-4122<br>Por mail: profaguada44@gmail.com",https://www.facebook.com/events/924722034582171,"['Art', 'Kid Friendly', 'Performing arts']",Brincando de Todas as Artes - Criação livre para Crianças,Casa Cultural Tony Petzhold,cult,teatro,,
['Sesc Canoas'],"Rua Guilherme Schell, 5340 - Centro, Canoas",['2019-02-28 07:30:00'],"CINEMA<br>As Duas Irenes<br>Fabio Meira (Brasil)<br>Gêneros: Drama<br>Data: 28/02 (quinta)<br>Horário: 19h30min<br>Local: Teatro do Sesc Canoas<br>Classificação: Livre<br>Duração: 89 mins<br>Irene (Priscila Bittencourt) é a filha do meio de uma família tradicional do interior, que um dia descobre que o pai (Marco Ricca) tem uma filha fora do casamento, também chamada Irene (Isabela Torres) e da mesma idade que ela. Revoltada com a descoberta, Irene passa a se aproximar de sua meio-irmã e da mãe dela, sem revelar sua identidade. É o início de uma cumplicidade entre elas, que passa também pela descoberta da sexualidade.<br>Ingressos Gratuitos",https://www.facebook.com/events/1969067953402423,['Film'],As duas Irenes | Sesc Canoas,Sesc Canoas,cult,teatro,,
